,0
0,0.012716128956526518
1,0.01152527378872037
2,0.009908707346767187
3,0.008652382530272007
4,0.007779915351420641
5,0.007282863138243556
6,0.006278421264141798
7,0.00544261047616601
8,0.006271472433581948
9,0.004567843396216631
10,0.00424766750074923
11,0.0039812547620385885
12,0.0037598215276375413
13,0.004601486958563328
14,0.0034909496316686273
15,0.0038712001405656338
16,0.003958386834710836
17,0.003833530470728874
18,0.0029749615932814777
19,0.005570658948272467
20,0.0046835781540721655
21,0.003595274407416582
22,0.004304391564801335
23,0.004899632651358843
24,0.005203332751989365
25,0.004788581281900406
26,0.003289459622465074
27,0.004416265059262514
28,0.004191608401015401
29,0.003360224305652082
30,0.003894499037414789
31,0.0035571936750784516
32,0.004771995125338435
33,0.005583044374361634
34,0.00334186723921448
35,0.004988767206668854
36,0.004358871141448617
37,0.003236482269130647
38,0.003251412883400917
39,0.0033541469601914287
40,0.00408803322352469
41,0.005388906924054027
42,0.003816866083070636
43,0.0028609122382476926
44,0.0037451303796842694
45,0.0035445846151560545
46,0.0033472648356109858
47,0.002818683977238834
48,0.003585181199014187
49,0.003725884365849197
50,0.003751997952349484
51,0.0039903559954836965
52,0.005458232597447932
53,0.004690675181336701
54,0.004507890436798334
55,0.0033138239523395896
56,0.003305313177406788
57,0.0031911261612549424
58,0.0028369902865961194
59,0.0031281356932595372
60,0.002758239977993071
61,0.0027374328346922994
62,0.003249537665396929
63,0.004549993900582194
64,0.00326926342677325
65,0.002918380661867559
66,0.003441901528276503
67,0.0031648975564166903
68,0.0026815388118848205
69,0.0032943449914455414
70,0.0033646845258772373
71,0.002988545806147158
72,0.003014756250195205
73,0.0021975995041429996
74,0.0023253263207152486
75,0.0019124179380014539
76,0.0022737389663234353
77,0.0025088107213377953
78,0.0028755085077136755
79,0.0023349185939878225
80,0.0021453671506606042
81,0.002081090467981994
82,0.0024474712554365396
83,0.002359887701459229
84,0.002460181713104248
85,0.0028245793655514717
86,0.002250707591883838
87,0.001915203407406807
88,0.002182979485951364
89,0.0021249643759801984
90,0.001975234365090728
91,0.001807512016966939
92,0.00245260214433074
93,0.002260402892716229
94,0.002001943881623447
95,0.0022170647280290723
96,0.0022036369191482663
97,0.0023878294741734862
98,0.0023790017003193498
99,0.0018664718954823911
100,0.001903727650642395
101,0.0017022332176566124
102,0.0015842365100979805
103,0.0016383558977395296
104,0.0020491911564022303
105,0.0014954347279854119
106,0.002511823666281998
107,0.0022879618918523192
108,0.0024612043634988368
109,0.0016955246101133525
110,0.001628927479032427
111,0.0020047726575285196
112,0.0016113564488478005
113,0.0016801599995233119
114,0.0016893460997380316
115,0.0021012722281739116
116,0.0026595768867991865
117,0.0017662118189036846
118,0.0016103488160297275
119,0.0024555950658395886
120,0.0022276429226621985
121,0.001970520766917616
122,0.0019537865882739425
123,0.0022411771351471543
124,0.0017261361936107278
125,0.0023862869711592793
126,0.0016644458519294858
127,0.0019110621651634574
128,0.002184287761338055
129,0.001866439008153975
130,0.0022357781417667866
131,0.0023154972004704177
132,0.0019068223191425204
133,0.0018786569125950336
134,0.0017252464313060045
135,0.002282341127283871
136,0.0023660986335016787
137,0.0017345877713523805
138,0.0025275922380387783
139,0.0015714469482190907
140,0.0025874149287119508
141,0.0017212824895977974
142,0.0020004991092719138
143,0.0015366002917289734
144,0.0031843892065808177
145,0.0016077372711151838
146,0.002349307877011597
147,0.001920954033266753
148,0.0017556663369759917
149,0.002520693466067314
150,0.0016634881030768156
151,0.0017342998180538416
152,0.001932525192387402
153,0.0019527472322806716
154,0.0015207001124508679
155,0.0015968515654094517
156,0.0016424620989710093
157,0.0013772729435004294
158,0.001962341309990734
159,0.001619129441678524
160,0.001493344723712653
161,0.0017791669233702123
162,0.0020969281904399395
163,0.0013560568331740797
164,0.0018711158190853894
165,0.0021015944657847285
166,0.001941645983606577
167,0.0017878989456221461
168,0.0021218108595348895
169,0.0016114854370243847
170,0.001545568520668894
171,0.0022640061797574162
172,0.001771265349816531
173,0.001899953349493444
174,0.0017003673128783703
175,0.0025428739027120173
176,0.001886474376078695
177,0.0018546193605288863
178,0.0022072173305787146
179,0.001469031791202724
180,0.0018685441464185715
181,0.0013784061302430928
182,0.0018517703865654767
183,0.001490674854721874
184,0.0023193759261630476
185,0.0019536831532604992
186,0.001721695822197944
187,0.0013987815473228693
188,0.001679561217315495
189,0.001351771701592952
190,0.001698510895948857
191,0.0018207632820121944
192,0.0016797592397779226
193,0.0017496406217105687
194,0.001669929944910109
195,0.0016927854157984257
196,0.0018258033669553697
197,0.0014999572304077446
198,0.0015040166326798499
199,0.0016095231985673308
200,0.0013880947371944785
201,0.0013198618544265628
202,0.0014582117437385023
203,0.0015192305436357856
204,0.0016385827329941094
205,0.0012126507353968918
206,0.0019493037834763527
207,0.0013963341480121017
208,0.0012790310429409146
209,0.0013781475136056542
210,0.0017367419204674661
211,0.00211097375722602
212,0.0013904616935178638
213,0.0012332058395259082
214,0.0014233667170628905
215,0.002265594608616084
216,0.001313274318818003
217,0.0014148754999041557
218,0.0011199080618098378
219,0.0015304412809200585
220,0.0016867642989382148
221,0.0013953469460830092
222,0.0010699494741857052
223,0.0012642900692299008
224,0.0017624743049964309
225,0.001699847460258752
226,0.0012243398232385516
227,0.0015435611712746322
228,0.0014768983237445354
229,0.0013672502245754004
230,0.001641748531255871
231,0.001173294906038791
232,0.0013786950148642063
233,0.0015828979667276144
234,0.0012070112279616296
235,0.001984373200684786
236,0.0015642499784007668
237,0.0012336954241618514
238,0.0015507034258916974
239,0.0018290421576239169
240,0.001489528629463166
241,0.0013802186003886163
242,0.001222326944116503
243,0.002075876633170992
244,0.0012954070698469877
245,0.0010817462462000549
246,0.0013813672703690827
247,0.0016209996538236737
248,0.0013081280631013215
249,0.0016916427994146943
250,0.0013555390178225935
251,0.0014547108439728618
252,0.0011289404355920851
253,0.0011372346780262887
254,0.0012184188235551119
255,0.0019124289392493665
256,0.001740366977173835
257,0.0011505283182486892
258,0.0013302512816153467
259,0.001227953121997416
260,0.0010935197351500392
261,0.0015265383408404887
262,0.0014285887009464204
263,0.0014918030356056988
264,0.001425119349732995
265,0.0013107809936627746
266,0.0011043189151678234
267,0.0010956373007502407
268,0.0013752520317211747
269,0.0012243236415088177
270,0.0013175063068047166
271,0.0015375327202491462
272,0.001321104180533439
273,0.0009816426027100533
274,0.0013050431734882295
275,0.0014320724876597524
276,0.001186143432278186
277,0.0012546703801490366
278,0.0013230204349383712
279,0.0013421390322037041
280,0.0012933461111970246
281,0.0016028204699978232
282,0.0011900936369784176
283,0.0018177383462898433
284,0.0013344184844754636
285,0.001155960955657065
286,0.0011999220005236566
287,0.0017287461669184268
288,0.0018058657296933234
289,0.00122401473345235
290,0.0014104030560702085
291,0.0012674000463448465
292,0.0013129634317010641
293,0.001074003695975989
